mention_id,mention,sentence,predictions,scores
3929989-2,intervertebral disc disease,"In middle - aged and older dogs such as Dobermans , intervertebral disc disease leads to bulging of the disc or herniation of the disc contents , and the spinal cord is compressed .",['/disease'],[0.9787367582]
3929989-3,spinal cord,"In middle - aged and older dogs such as Dobermans , intervertebral disc disease leads to bulging of the disc or herniation of the disc contents , and the spinal cord is compressed .",['/body_part'],[0.9988574982]
25757171-0,Venezuelan general strike of 2002 -- 2003,During the Venezuelan general strike of 2002 -- 2003 Barrueco quickly rose to prominence when he aided the government by lending them his vehicles to support the government 's attempts to maintain food distribution during the strike .,['/event'],[0.9738656282]
25757171-1,Barrueco,During the Venezuelan general strike of 2002 -- 2003 Barrueco quickly rose to prominence when he aided the government by lending them his vehicles to support the government 's attempts to maintain food distribution during the strike .,"['/person', '/person/politician']","[0.9909133911, 0.6188306212]"
32650387-0,Bloody Friday,"Meanwhile , on 21 July 1972 , as part of its Bloody Friday series of bomb attacks , the PIRA exploded a device at a petrol station on the road , albeit without deaths .",['/event'],[0.7433734536]
32650387-1,PIRA,"Meanwhile , on 21 July 1972 , as part of its Bloody Friday series of bomb attacks , the PIRA exploded a device at a petrol station on the road , albeit without deaths .","['/organization', '/organization/terrorist_organization']","[0.9648825526, 0.7349927425]"
14489718-0,al - Banna,"Following the dissolution of the society in 1948 and the assassination of al - Banna in 1949 , the survival of the Muslim Brotherhood was at stake .",['/person'],[0.9077564478]
14489718-1,Muslim Brotherhood,"Following the dissolution of the society in 1948 and the assassination of al - Banna in 1949 , the survival of the Muslim Brotherhood was at stake .",['/organization'],[0.71118325]
20133991-0,Kennedy,Kennedy was a supporter of the War in Afghanistan and the overthrow of the Taliban government in Afghanistan in reaction to the September 11 attacks .,"['/person', '/person/actor', '/person/artist', '/person/politician', '/person/author']","[0.9969379902, 0.7334807515, 0.5099784732, 0.9111210704, 0.8848844171]"
20133991-1,War in Afghanistan,Kennedy was a supporter of the War in Afghanistan and the overthrow of the Taliban government in Afghanistan in reaction to the September 11 attacks .,"['/event/military_conflict', '/event', '/event/attack']","[0.9969757795, 0.9914008975, 0.7334957123]"
20133991-2,Taliban government,Kennedy was a supporter of the War in Afghanistan and the overthrow of the Taliban government in Afghanistan in reaction to the September 11 attacks .,['/organization'],[0.7698946595]
20133991-3,Afghanistan,Kennedy was a supporter of the War in Afghanistan and the overthrow of the Taliban government in Afghanistan in reaction to the September 11 attacks .,"['/location', '/location/country']","[0.9899868369, 0.8147817254]"
20133991-4,September 11 attacks,Kennedy was a supporter of the War in Afghanistan and the overthrow of the Taliban government in Afghanistan in reaction to the September 11 attacks .,"['/event/terrorist_attack', '/event/natural_disaster', '/event', '/event/attack']","[0.9920200706, 0.9099767804, 0.9243002534, 0.8729527593]"
48908604-0,Přemysl Otakar I of Bohemia,"He was member of the Přemyslid dynasty , son of king Přemysl Otakar I of Bohemia and his second wife Constance of Hungary .",['/person'],[0.9451395869]
48908604-1,Constance of Hungary,"He was member of the Přemyslid dynasty , son of king Přemysl Otakar I of Bohemia and his second wife Constance of Hungary .",['/person'],[0.9584869742]
9360795-0,Osama bin Laden,He was quoted by Osama bin Laden in his 1994 .,"['/person', '/person/actor', '/person/author', '/person/terrorist']","[0.9767807722, 0.6233034134, 0.8034875989, 0.9894112945]"
19981430-0,Union Pacific Railroad,"This tipple operated until 1955 , when the Union Pacific Railroad , the chief consumer of the mine 's coal , phased out steam locomotives .","['/organization', '/organization/company']","[0.924259901, 0.9102413058]"
29527197-0,DeLane Fitzgerald,"DeLane Fitzgerald ( born September 21 , 1976 ) is an American football coach and former player .",['/person'],[0.9706614614]
29527197-1,American football,"DeLane Fitzgerald ( born September 21 , 1976 ) is an American football coach and former player .","['/organization', '/organization/sports_team', '/sport']","[0.6283864379, 0.6230691075, 0.9236767888]"
2449112-0,Treaty of Kars,"Later , this was replaced by the Treaty of Kars .",['/law'],[0.9879357815]
50097924-0,MLB,"As a result , MLB officials tried to move the game to Fenway Park in Boston , obviously a larger ballpark in a larger city , but players from both teams voted to end things where it all began .","['/organization', '/organization/sports_league', '/organization/company']","[0.9510915875, 0.8367085457, 0.5300429463]"
50097924-1,Fenway Park,"As a result , MLB officials tried to move the game to Fenway Park in Boston , obviously a larger ballpark in a larger city , but players from both teams voted to end things where it all began .","['/building', '/location', '/building/sports_facility']","[0.5816504955, 0.9327573776, 0.9515398741]"
50097924-2,Boston,"As a result , MLB officials tried to move the game to Fenway Park in Boston , obviously a larger ballpark in a larger city , but players from both teams voted to end things where it all began .","['/location', '/location/city']","[0.9782585502, 0.9354214668]"
42077684-0,Berlin,"Obsessed with destroying all dragons , he plans on sacrificing Berlin to ensure his plan comes to fruition , since releasing the insane host dragon would destroy much of the nearby city in the resulting rampage .","['/location', '/location/city']","[0.9885563254, 0.8675740361]"
9656701-0,China,They are currently providing foster care for over 300 children in 12 cities in 8 provinces in China .,"['/location', '/location/country']","[0.9919344187, 0.9476796389]"
3085224-0,Carisbrooke Castle,"Carisbrooke Castle is close to Blackwater , while the Newclose County Cricket Ground is just to the north of the village .","['/building', '/location']","[0.87360394, 0.9988043308]"
3085224-1,Blackwater,"Carisbrooke Castle is close to Blackwater , while the Newclose County Cricket Ground is just to the north of the village .",['/location'],[0.9773583412]
3085224-2,Newclose County Cricket Ground,"Carisbrooke Castle is close to Blackwater , while the Newclose County Cricket Ground is just to the north of the village .",['/location'],[0.973664701]
23510663-0,Marido En Alquiler,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/art/film', '/art']","[0.5209867954, 0.8722907305]"
23510663-1,Telemundo,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/organization', '/broadcast_network', '/organization/company']","[0.8208469152, 0.8300706744, 0.7820342183]"
23510663-2,Sonya Smith,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/person', '/person/actor', '/person/artist']","[0.9651125669, 0.8163571954, 0.6384071112]"
23510663-3,Juan Soler,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/person', '/person/actor', '/person/artist']","[0.9880728126, 0.7097525597, 0.6059175134]"
23510663-4,Maritza Rodriguez,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/person', '/person/actor', '/person/artist']","[0.9831826687, 0.8887493014, 0.7985649705]"
23510663-5,Miguel Varoni,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/person', '/person/actor', '/person/artist']","[0.9777387381, 0.7814016938, 0.7776603103]"
23510663-6,Gabriel Coronel,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .",['/person'],[0.939951539]
23510663-7,Kimberly Dos Ramos,"In 2013 he participated in the telenovela "" Marido En Alquiler "" on Telemundo , starring Sonya Smith and Juan Soler , with Maritza Rodriguez and Miguel Varoni playing the antagonists , the young couple in the telenovela : Gabriel Coronel and Kimberly Dos Ramos .","['/person', '/person/actor']","[0.9445464015, 0.5741513371]"
188955-0,London,"In 1945 -- 46 , London hosted the first meeting of the General Assembly in Methodist Central Hall , and the Security Council in Church House .","['/location', '/location/city']","[0.9942171574, 0.9393382668]"
188955-1,General Assembly,"In 1945 -- 46 , London hosted the first meeting of the General Assembly in Methodist Central Hall , and the Security Council in Church House .","['/organization', '/organization/government']","[0.8054656386, 0.7273224592]"
188955-2,Methodist Central Hall,"In 1945 -- 46 , London hosted the first meeting of the General Assembly in Methodist Central Hall , and the Security Council in Church House .","['/building', '/location']","[0.7904507518, 0.7157357931]"
188955-3,Security Council,"In 1945 -- 46 , London hosted the first meeting of the General Assembly in Methodist Central Hall , and the Security Council in Church House .",['/organization'],[0.9029830694]
188955-4,Church House,"In 1945 -- 46 , London hosted the first meeting of the General Assembly in Methodist Central Hall , and the Security Council in Church House .","['/building', '/organization', '/location']","[0.7427688837, 0.5577148795, 0.7484206557]"
9213201-0,Starlight Theatre,This increased production versatility has continued to make Starlight Theatre a summer favorite for residents and visitors alike .,['/location'],[0.4869714975]
3026504-0,Aboukir,"Aboukir "" was sunk by the German submarine "" U-9 "" , together with two of her sister ships , on 22 September 1914 ; 527 men of her complement died .",['/product/ship'],[0.2204955369]
3026504-1,U-9,"Aboukir "" was sunk by the German submarine "" U-9 "" , together with two of her sister ships , on 22 September 1914 ; 527 men of her complement died .","['/product/ship', '/product']","[0.985044539, 0.7093880773]"
36655325-0,Jack Howard,His twin brother Jack Howard competed at the 2008 Summer Olympics .,"['/person', '/person/actor', '/person/athlete']","[0.9835688472, 0.5360390544, 0.5640485883]"
36655325-1,2008 Summer Olympics,His twin brother Jack Howard competed at the 2008 Summer Olympics .,"['/event/sports_event', '/event']","[0.8293279409, 0.899494946]"
23773770-0,Ferrari 458 Italia,The Ferrari 458 Italia is a mid-engined sports car produced by the Italian sports car manufacturer Ferrari .,"['/product/car', '/product']","[0.9621785283, 0.8948876858]"
23773770-1,Ferrari,The Ferrari 458 Italia is a mid-engined sports car produced by the Italian sports car manufacturer Ferrari .,"['/organization', '/organization/company']","[0.7803587317, 0.8533221483]"
28914094-0,Banna Ridge,Banna Ridge ( ) is a rock ridge that rises over and extends from Banna Peak northeast toward the head of Hatherton Glacier .,['/location'],[0.9847899079]
28914094-1,Banna Peak,Banna Ridge ( ) is a rock ridge that rises over and extends from Banna Peak northeast toward the head of Hatherton Glacier .,"['/location', '/location/mountain']","[0.9992820621, 0.8871925473]"
28914094-2,Hatherton Glacier,Banna Ridge ( ) is a rock ridge that rises over and extends from Banna Peak northeast toward the head of Hatherton Glacier .,['/location'],[0.998686254]
1019091-0,WWII,"In addition , studies conducted following WWII screening programs showed that psychological disorders present during military training did not accurately predict stress disorders during combat .",['/event/attack'],[0.3638636768]
9644715-0,Canon EOS -1 D Mark IV,"In late 2009 , the camera was succeeded by the Canon EOS -1 D Mark IV .",['/product'],[0.9242166281]
3985-0,University at Buffalo,"The University at Buffalo is known as "" Buffalo "" and is the largest public university in New York .","['/organization', '/location', '/organization/educational_institution', '/organization/company']","[0.9575619102, 0.9508191943, 0.9888389111, 0.5215536952]"
3985-1,Buffalo,"The University at Buffalo is known as "" Buffalo "" and is the largest public university in New York .","['/location', '/location/city']","[0.9554327726, 0.8014602065]"
3985-2,New York,"The University at Buffalo is known as "" Buffalo "" and is the largest public university in New York .","['/location', '/location/province', '/location/city']","[0.9877792001, 0.7109048963, 0.9106541276]"
1887427-0,Rampage game,"Like in the first Rampage game , the goal of every stage is to destroy all the buildings in each city while avoiding or destroying the military forces .",['/product/game'],[0.5754805207]
13965859-0,Howard Bowen,Howard Bowen 's tenure at Illinois was a good one with improvements in many different programs .,"['/person', '/person/author']","[0.9926413894, 0.6013253927]"
13965859-1,Illinois,Howard Bowen 's tenure at Illinois was a good one with improvements in many different programs .,"['/location', '/location/province']","[0.9952438474, 0.9880399108]"
20290-0,Central Intelligence Agency,"The Central Intelligence Agency stated in a report that the new government would be ambivalent , or even worse , hostile towards the United States .","['/organization/government_agency', '/organization']","[0.8277052641, 0.9302600622]"
20290-1,United States,"The Central Intelligence Agency stated in a report that the new government would be ambivalent , or even worse , hostile towards the United States .","['/organization/government_agency', '/organization', '/location', '/location/country', '/organization/government']","[0.9955827594, 0.978998661, 0.9730659723, 0.9935904741, 0.9863739014]"
2253882-0,Beatles,"It was later included on the 1977 Beatles compilation "" Love Songs "" .","['/person', '/organization', '/organization/music', '/person/artist', '/person/author']","[0.7003419399, 0.6951694489, 0.6429764032, 0.8970497251, 0.733646512]"
2253882-1,Love Songs,"It was later included on the 1977 Beatles compilation "" Love Songs "" .","['/art/music', '/art']","[0.9600023627, 0.9630185366]"
4446197-0,Georgetown University,"She is a graduate of Georgetown University , where she served as an editor for "" The Hoya "" .","['/organization', '/location', '/organization/educational_institution', '/organization/company']","[0.9162089825, 0.9068650007, 0.9953753948, 0.7298769951]"
4446197-1,The Hoya,"She is a graduate of Georgetown University , where she served as an editor for "" The Hoya "" .",['/art/written_work'],[0.5269879699]
13449749-0,WJW,"While at WJW , Taylor did live reports from Three Mile Island , interviewed four presidents , and even traveled to Japan to cover the then growing Japanese auto industry .","['/organization', '/broadcast_network', '/organization/company']","[0.8276631236, 0.7818755507, 0.5850917697]"
13449749-1,Taylor,"While at WJW , Taylor did live reports from Three Mile Island , interviewed four presidents , and even traveled to Japan to cover the then growing Japanese auto industry .","['/person', '/person/actor', '/person/artist', '/person/author']","[0.9963343143, 0.630006969, 0.6805146933, 0.7717441916]"
13449749-2,Three Mile Island,"While at WJW , Taylor did live reports from Three Mile Island , interviewed four presidents , and even traveled to Japan to cover the then growing Japanese auto industry .",['/location'],[0.9816681743]
13449749-3,Japan,"While at WJW , Taylor did live reports from Three Mile Island , interviewed four presidents , and even traveled to Japan to cover the then growing Japanese auto industry .","['/location', '/location/country']","[0.9849987626, 0.8310471177]"
33357906-0,Sandia Mountains,It has a great view of the Sandia Mountains east of the school .,"['/location', '/location/mountain']","[0.9975441098, 0.9573726058]"
10167684-0,Republican Party,In 1860 he joined the Republican Party and won election to the U.S. House that year .,"['/organization', '/event/election', '/organization/political_party']","[0.9913331866, 0.8228234053, 0.9983415604]"
10167684-1,U.S. House,In 1860 he joined the Republican Party and won election to the U.S. House that year .,['/organization'],[0.6796481013]
38742541-0,Pequod Glacier,It surmounts to the north and south the branches of Pequod Glacier flowing into Exasperation Inlet and Durostorum Bay respectively .,['/location'],[0.9893536568]
38742541-1,Exasperation Inlet,It surmounts to the north and south the branches of Pequod Glacier flowing into Exasperation Inlet and Durostorum Bay respectively .,"['/location', '/location/body_of_water']","[0.9947734475, 0.5615258813]"
38742541-2,Durostorum Bay,It surmounts to the north and south the branches of Pequod Glacier flowing into Exasperation Inlet and Durostorum Bay respectively .,"['/location', '/location/body_of_water']","[0.9957433343, 0.7334116101]"
38411152-0,Rotten Tomatoes,"On Rotten Tomatoes , the season has a rating of 64 % , based on 72 reviews , with an average rating of 6.6 / 10 .",['/website'],[0.9733732939]
2114876-0,Broadway,"Though not required or necessarily encouraged by improv professionals , elements of humor inevitably surface in the performance because of the surprising and playful nature of improvisation and its use of typical Broadway stereotypes .",['/building/theater'],[0.3412357569]
37303757-0,United Kingdom,The reserve was established in 1993 to protect the area of land that the United Kingdom 's Ministry of Defence had decommissioned from military use .,"['/organization/government_agency', '/organization', '/location', '/location/country', '/organization/government']","[0.9457861781, 0.8875575066, 0.974029839, 0.9864295721, 0.5718668103]"
37303757-1,Ministry of Defence,The reserve was established in 1993 to protect the area of land that the United Kingdom 's Ministry of Defence had decommissioned from military use .,"['/organization/government_agency', '/organization']","[0.7179389, 0.8394573331]"
2739209-0,Clarendon Weir,The reservoir acts as a ' holding pond ' for water directed to it from the Clarendon Weir via a five km long underground tunnel .,['/location'],[0.9930285811]
778940-0,Archery,There were 4 different Archery competitions at the 1992 Summer Olympics .,['/sport'],[0.9767392874]
778940-1,1992 Summer Olympics,There were 4 different Archery competitions at the 1992 Summer Olympics .,"['/event/sports_event', '/event']","[0.7456309795, 0.8881638646]"
65169-0,Antony,"On the eve of the battle , Antony 's soldiers hear strange portents , which they interpret as the god Hercules abandoning his protection of Antony .",['/person'],[0.9624797702]
65169-1,Hercules,"On the eve of the battle , Antony 's soldiers hear strange portents , which they interpret as the god Hercules abandoning his protection of Antony .",['/fictional_character'],[0.9296897054]
65169-2,Antony,"On the eve of the battle , Antony 's soldiers hear strange portents , which they interpret as the god Hercules abandoning his protection of Antony .",['/person'],[0.9454435706]
5406693-0,United States,"Then , in the summer of 1945 , she operated briefly in training exercises with submarines off the northeast coast of the United States .","['/organization/government_agency', '/organization', '/location', '/location/country', '/organization/government']","[0.991430819, 0.9330931306, 0.9861932397, 0.9599244595, 0.964355588]"
5672691-0,Tchaikovsky,"It also includes a short excerpt of Tchaikovsky 's "" Swan Lake "" during the piano - driven bridge .","['/person', '/person/musician', '/person/artist', '/person/author']","[0.9876676202, 0.974065721, 0.9472629428, 0.9359280467]"
5672691-1,Swan Lake,"It also includes a short excerpt of Tchaikovsky 's "" Swan Lake "" during the piano - driven bridge .","['/art/music', '/art']","[0.7550517321, 0.7989444137]"
5672691-2,piano,"It also includes a short excerpt of Tchaikovsky 's "" Swan Lake "" during the piano - driven bridge .","['/product', '/product/instrument']","[0.8935701847, 0.9689775109]"
2696255-0,Texas International,Texas International then ceased all flights into Victoria with its service being replaced by Metro Airlines operating de Havilland Canada DHC -6 Twin Otter commuter turboprops to Houston Intercontinental during the 1970s and early 1980s with up to seven nonstop flights a day .,['/organization'],[0.501134038]
2696255-1,Victoria,Texas International then ceased all flights into Victoria with its service being replaced by Metro Airlines operating de Havilland Canada DHC -6 Twin Otter commuter turboprops to Houston Intercontinental during the 1970s and early 1980s with up to seven nonstop flights a day .,['/location'],[0.9924002886]
2696255-2,Metro Airlines,Texas International then ceased all flights into Victoria with its service being replaced by Metro Airlines operating de Havilland Canada DHC -6 Twin Otter commuter turboprops to Houston Intercontinental during the 1970s and early 1980s with up to seven nonstop flights a day .,"['/organization', '/organization/company', '/organization/airline']","[0.9340067506, 0.9360666275, 0.9508390427]"
2696255-3,de Havilland Canada DHC -6 Twin Otter,Texas International then ceased all flights into Victoria with its service being replaced by Metro Airlines operating de Havilland Canada DHC -6 Twin Otter commuter turboprops to Houston Intercontinental during the 1970s and early 1980s with up to seven nonstop flights a day .,"['/product/airplane', '/product']","[0.9523102045, 0.6245269179]"
2696255-4,Houston Intercontinental,Texas International then ceased all flights into Victoria with its service being replaced by Metro Airlines operating de Havilland Canada DHC -6 Twin Otter commuter turboprops to Houston Intercontinental during the 1970s and early 1980s with up to seven nonstop flights a day .,['/location'],[0.8514990807]
24175534-0,1970 FIFA World Cup,"He participated in the 1970 FIFA World Cup in Mexico , where the Uruguayan side finished in fourth place .",['/event'],[0.9868326187]
24175534-1,Mexico,"He participated in the 1970 FIFA World Cup in Mexico , where the Uruguayan side finished in fourth place .","['/location', '/location/country']","[0.9842221141, 0.8298510909]"
19739765-0,uguisu no fun,"Traditionally "" uguisu no fun "" was used to lighten and balance skin tone although today it is considered a luxury item .",['/food'],[0.15538463]
6311144-0,Georges-François-Xavier-Marie Grente,Georges-François-Xavier-Marie Grente ( 5 May 1872 -- 5 May 1959 ) was a French Cardinal of the Roman Catholic Church .,['/person'],[0.5357052684]
6311144-1,Cardinal,Georges-François-Xavier-Marie Grente ( 5 May 1872 -- 5 May 1959 ) was a French Cardinal of the Roman Catholic Church .,['/title'],[0.6913905144]
6311144-2,Roman Catholic Church,Georges-François-Xavier-Marie Grente ( 5 May 1872 -- 5 May 1959 ) was a French Cardinal of the Roman Catholic Church .,"['/organization', '/religion']","[0.8021954298, 0.8739452362]"
52780-0,Stuck in a Moment You Ca n't Get Out Of,"The album 's other three singles , "" Stuck in a Moment You Ca n't Get Out Of "" , "" Elevation "" and "" Walk On "" , also won Grammy Awards .","['/art/music', '/art']","[0.9747481942, 0.950232625]"
52780-1,Elevation,"The album 's other three singles , "" Stuck in a Moment You Ca n't Get Out Of "" , "" Elevation "" and "" Walk On "" , also won Grammy Awards .","['/art/music', '/art']","[0.9933854938, 0.8032654524]"
52780-2,Walk On,"The album 's other three singles , "" Stuck in a Moment You Ca n't Get Out Of "" , "" Elevation "" and "" Walk On "" , also won Grammy Awards .","['/art/music', '/art']","[0.982791841, 0.9303624034]"
52780-3,Grammy Awards,"The album 's other three singles , "" Stuck in a Moment You Ca n't Get Out Of "" , "" Elevation "" and "" Walk On "" , also won Grammy Awards .",['/award'],[0.99189502]
44389626-0,China,"The same month , China demanded reparation from Mexico , seeking a payment 100,000 pesos ( in 1911 money ) for each Chinese killed during the massacre , a total of over thirty million .","['/location', '/location/country']","[0.9581151009, 0.9446991086]"
44389626-1,Mexico,"The same month , China demanded reparation from Mexico , seeking a payment 100,000 pesos ( in 1911 money ) for each Chinese killed during the massacre , a total of over thirty million .","['/location', '/location/country']","[0.9796939492, 0.9124954343]"
44389626-2,Chinese,"The same month , China demanded reparation from Mexico , seeking a payment 100,000 pesos ( in 1911 money ) for each Chinese killed during the massacre , a total of over thirty million .",['/ethnicity'],[0.5317965746]
20048880-0,Essex County,Essex County in the state 's northeastern section was the only county to vote for Bush .,"['/location/county', '/location']","[0.8872212768, 0.9962108135]"
20048880-1,Bush,Essex County in the state 's northeastern section was the only county to vote for Bush .,"['/person', '/person/actor', '/person/politician', '/person/author']","[0.9247475863, 0.6143345237, 0.9030480981, 0.686358273]"
29550876-0,U.S. Navy,"It was discovered and photographed during a U.S. Navy transcontinental nonstop plane flight of January 13 , 1956 from McMurdo Sound to the Weddell Sea and return .","['/organization', '/organization/military', '/person/engineer', '/organization/news_agency']","[0.9089595675, 0.9002022743, 0.8252822757, 0.8058601618]"
29550876-1,McMurdo Sound,"It was discovered and photographed during a U.S. Navy transcontinental nonstop plane flight of January 13 , 1956 from McMurdo Sound to the Weddell Sea and return .",['/location'],[0.9847892523]
29550876-2,Weddell Sea,"It was discovered and photographed during a U.S. Navy transcontinental nonstop plane flight of January 13 , 1956 from McMurdo Sound to the Weddell Sea and return .","['/location', '/location/body_of_water']","[0.9898177981, 0.8701192141]"
13648431-0,Tangle,Tangle is an Australian drama series for the Showcase subscription television channel .,['/organization/music'],[0.11724592]
13648431-1,Showcase,Tangle is an Australian drama series for the Showcase subscription television channel .,"['/organization', '/broadcast_network']","[0.5713023543, 0.8132072091]"
35760056-0,Judiciary Act of 1789,The legislative history of the Judiciary Act of 1789 reveals little consideration of criminal appeals .,['/law'],[0.9362681508]
42611-0,McDonald 's,"Furthermore , although the decision awarded # 60,000 to the company , McDonald 's legal costs were much greater , and the defendants lacked the funds to pay it .","['/organization', '/organization/company']","[0.5105423927, 0.6715945601]"
13142067-0,The Romanov Tercentenary Egg,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/location'],[0.1168195233]
13142067-1,gold,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .","['/drug', '/chemical_thing']","[0.6450219154, 0.5993822813]"
13142067-2,silver,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/drug'],[0.5514550805]
13142067-3,diamonds,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/product'],[0.109062694]
13142067-4,turquoise,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/color'],[0.867456615]
13142067-5,purpurine,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/living_thing'],[0.1238282621]
13142067-6,rock crystal,"The Romanov Tercentenary Egg is made of gold , silver , rose - cut and portrait diamonds , turquoise , purpurine , rock crystal , Vitreous enamel and watercolor painting on ivory .",['/product'],[0.1632493585]
6245625-0,M1 motorway,"The M1 motorway was originally intended to run between Belfast , and the area that is now Craigavon .","['/location', '/location/road']","[0.8350182176, 0.9000722766]"
6245625-1,Belfast,"The M1 motorway was originally intended to run between Belfast , and the area that is now Craigavon .","['/location', '/location/city']","[0.998920083, 0.9932150841]"
6245625-2,Craigavon,"The M1 motorway was originally intended to run between Belfast , and the area that is now Craigavon .","['/location', '/location/city']","[0.9966388941, 0.9736198187]"
10540283-0,PBS,"The memoir has been adapted as two film versions , produced as the 1984 PBS television movie "" Solomon Northup 's Odyssey "" and the Oscar - winning 2013 film "" 12 Years a Slave "" .","['/person', '/organization', '/person/artist', '/broadcast_network', '/organization/company']","[0.730810225, 0.8598662019, 0.7733243704, 0.9364914298, 0.5458465219]"
10540283-1,Solomon Northup 's Odyssey,"The memoir has been adapted as two film versions , produced as the 1984 PBS television movie "" Solomon Northup 's Odyssey "" and the Oscar - winning 2013 film "" 12 Years a Slave "" .",['/art'],[0.9340388775]
10540283-2,Oscar,"The memoir has been adapted as two film versions , produced as the 1984 PBS television movie "" Solomon Northup 's Odyssey "" and the Oscar - winning 2013 film "" 12 Years a Slave "" .",['/award'],[0.9196248055]
10540283-3,12 Years a Slave,"The memoir has been adapted as two film versions , produced as the 1984 PBS television movie "" Solomon Northup 's Odyssey "" and the Oscar - winning 2013 film "" 12 Years a Slave "" .","['/art/film', '/art']","[0.9324501753, 0.9612273574]"
24052355-0,IGN,"IGN gave a score of 5.1 for the PS3 and Xbox 360 version , 5.5 for the Wii version and 4.9 for the PSP version .","['/website', '/organization']","[0.935449183, 0.8268239498]"
24052355-1,PS3,"IGN gave a score of 5.1 for the PS3 and Xbox 360 version , 5.5 for the Wii version and 4.9 for the PSP version .","['/product', '/product/software']","[0.9658309817, 0.6756287813]"
24052355-2,Xbox 360,"IGN gave a score of 5.1 for the PS3 and Xbox 360 version , 5.5 for the Wii version and 4.9 for the PSP version .","['/product', '/product/software']","[0.9583080411, 0.8873884082]"
24052355-3,Wii,"IGN gave a score of 5.1 for the PS3 and Xbox 360 version , 5.5 for the Wii version and 4.9 for the PSP version .","['/product', '/product/software', '/product/computer']","[0.954021275, 0.8678773046, 0.8838444352]"
24052355-4,PSP,"IGN gave a score of 5.1 for the PS3 and Xbox 360 version , 5.5 for the Wii version and 4.9 for the PSP version .","['/product', '/product/software', '/product/computer']","[0.9871249795, 0.9460526109, 0.7958582044]"
38649591-0,Beasley,"Beasley died on September 18 , 2004 , at age 78 , of complications of lymphoma , at the Hospital of the University of Pennsylvania , only thirteen days after being diagnosed with cancer .",['/person'],[0.9683535695]
38649591-1,lymphoma,"Beasley died on September 18 , 2004 , at age 78 , of complications of lymphoma , at the Hospital of the University of Pennsylvania , only thirteen days after being diagnosed with cancer .",['/disease'],[0.9975221753]
38649591-2,Hospital of the University of Pennsylvania,"Beasley died on September 18 , 2004 , at age 78 , of complications of lymphoma , at the Hospital of the University of Pennsylvania , only thirteen days after being diagnosed with cancer .","['/organization', '/location', '/organization/educational_institution']","[0.9195152521, 0.9098458886, 0.9113395214]"
38649591-3,cancer,"Beasley died on September 18 , 2004 , at age 78 , of complications of lymphoma , at the Hospital of the University of Pennsylvania , only thirteen days after being diagnosed with cancer .",['/disease'],[0.9971209168]
15995514-0,IgG deficiency,"IgG deficiency is not usually encountered without other concomitant immunoglobulin deficiencies , and IgG deficiency is very common but usually asymptomatic .","['/disease', '/symptom']","[0.9895423651, 0.5729045868]"
